date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:56	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Wed,%2001%20Sep%202021%2021:27:55%20GMT	http://sites.google.com/view/pagina-biodiseo/miembros?authuser=0	C:/My%20Web%20Sites/pagina%20uwu/sites.google.com/view/pagina-biodiseo/miembros.0e486.delayed	(from )
16:27:59	73197/73197	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2021:27:57%20GMT	https://sites.google.com/view/pagina-biodiseo/miembros?authuser=0	C:/My%20Web%20Sites/pagina%20uwu/sites.google.com/view/pagina-biodiseo/miembrose486.html	(from )
16:28:01	67/67	---MCZ	200	added ('OK')	text/plain	date:Wed,%2001%20Sep%202021%2021:27:59%20GMT	https://sites.google.com/robots.txt		(from )
16:28:19	98533/98533	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/aristotle-header-dark.jpg	C:/My%20Web%20Sites/pagina%20uwu/ssl.gstatic.com/atari/images/aristotle-header-dark.jpg	(from https://sites.google.com/view/pagina-biodiseo/miembros?authuser=0)
16:28:19	73176/73176	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2021:28:14%20GMT	https://sites.google.com/view/pagina-biodiseo/miembros?authuser	C:/My%20Web%20Sites/pagina%20uwu/sites.google.com/view/pagina-biodiseo/miembrosfd93.html	(from https://sites.google.com/view/pagina-biodiseo/miembros?authuser=0)
16:28:21	12792/12792	---MC-	200	added ('OK')	application/javascript	date:Wed,%2001%20Sep%202021%2021:28:20%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/pagina%20uwu/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/pagina-biodiseo/miembros?authuser=0)
16:28:24	52411/52411	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2021:28:21%20GMT	https://sites.google.com/view/pagina-biodiseo/inicio	C:/My%20Web%20Sites/pagina%20uwu/sites.google.com/view/pagina-biodiseo/inicio.html	(from https://sites.google.com/view/pagina-biodiseo/miembros?authuser=0)
17:08:23	73149/73149	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2022:08:22%20GMT	https://sites.google.com/view/pagina-biodiseo/miembros	C:/My%20Web%20Sites/pagina%20uwu/sites.google.com/view/pagina-biodiseo/miembros	(from https://sites.google.com/view/pagina-biodiseo/miembros?authuser=0)
17:08:23	51605/51605	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2022:08:22%20GMT	https://sites.google.com/view/pagina-biodiseo/caso-cl%c3%adnico	C:/My%20Web%20Sites/pagina%20uwu/sites.google.com/view/pagina-biodiseo/caso-cl%c3%adnico.html	(from https://sites.google.com/view/pagina-biodiseo/miembros?authuser)
17:08:24	56197/56197	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2022:08:24%20GMT	https://sites.google.com/view/pagina-biodiseo/actas	C:/My%20Web%20Sites/pagina%20uwu/sites.google.com/view/pagina-biodiseo/actas.html	(from https://sites.google.com/view/pagina-biodiseo/miembros?authuser)
